hotel,b,d,u
Best Western Plus,0.0,0.0,1.0
La Quinta Inn & Suites Auburn,0.46,0.5,0.04
"The Citizen Hotel, Autograph Collection",0.5,0.46,0.04
Super 8 Ithaca,0.36,0.61,0.03
Big Mountain Lodge,0.41,0.54,0.05
Holiday Inn Express Atlanta Ne - I-85 Clairmont,0.0,0.0,1.0
Springhill Suites Columbia,0.44,0.54,0.02
Sportsmen Motel,0.18,0.15,0.67
North Country Inn B & B,0.4,0.48,0.12
Microtel of Ste Genevieve,0.0,0.0,1.0
Days Inn Barstow,0.25,0.46,0.29
Unionport Lodge No 333 F A M,0.0,0.33,0.67
Doubletree By Hilton Hotel Bay City - Riverfront,0.49,0.5,0.01
Hilton Garden Inn Burlington Downtown,0.4,0.51,0.09
Doubletree By Hilton West Palm Beach Airport,0.45,0.54,0.01
Courtyard Hattiesburg,0.35,0.5,0.15
Janmere Motel,0.28,0.55,0.17
Skidway Lake Motel,0.29,0.46,0.25
El Cortez,0.24,0.59,0.17
Enchanted Castle Hotel,0.33,0.27,0.4
Extended Stay America - Chicago - Westmont - Oak Brook,0.3,0.67,0.03
Extended Stay America,0.18,0.42,0.4
Econo Lodge,0.43,0.54,0.03
Hometown Inn,0.3,0.57,0.13
Days Inn Brookings,0.28,0.68,0.04
Pheasant Manor,0.0,0.33,0.67
Spirit Tree Inn B & B,0.0,0.0,1.0
Durango Travelodge,0.31,0.66,0.03
Americinn Lodge and Suites,0.0,0.33,0.67
Residence Inn Billings,0.46,0.49,0.05
Best Western Plus Arlington North Hotel and Suites,0.46,0.51,0.03
Knights Inn,0.0,0.33,0.67
La Quinta Inn and Suites Tucson - Reid Park,0.42,0.55,0.03
Staybridge Suites Tyler University Area,0.46,0.47,0.07
Country Inn and Suites By Carlson Corbin,0.43,0.55,0.02
Best Western Owasso Inn & Suites,0.34,0.54,0.12
Truckee Tahoe Htl Larkspur,0.0,0.33,0.67
Wyndham Resort At Fairfield Mountains,0.38,0.5,0.12
Quality Inn Spearfish,0.44,0.52,0.04
The White House Inn,0.0,0.33,0.67
Inn At Queen Anne,0.33,0.65,0.02
Comfort Inn,0.44,0.55,0.01
Budget Inn South,0.13,0.47,0.4
Residence Inn By Marriott Irvine John Wayne Airport,0.47,0.51,0.02
Blue Top Inn,0.33,0.5,0.17
Days Inn Warren,0.41,0.57,0.02
Budget Host Inn,0.34,0.51,0.15
Howard Johnson Gallup,0.0,0.0,1.0
Desert Sands Motel,0.19,0.63,0.18
Davison St Guest House,0.0,0.33,0.67
Travelodge,0.04,0.29,0.67
Parkway Inn Jellico,0.11,0.39,0.5
Days Inn & Suites Vicksburg,0.0,0.0,1.0
Chippewa Hotel,0.0,0.33,0.67
Martin Mason Hotel,0.43,0.5,0.07
Comfort Inn and Suites O'fallon,0.36,0.6,0.04
La Quinta Inn & Suites Dublin,0.44,0.53,0.03
Sheraton Mission Valley San Diego Hotel,0.41,0.48,0.11
The Bluffs Inn Suites,0.04,0.29,0.67
Astro Motel,0.04,0.29,0.67
Best Western Luxury Inn,0.24,0.36,0.4
Extended Stay America San Diego - Carlsbad Village By The Sea,0.3,0.63,0.07
Seaside Oceanfront Inn & Restaurant,0.0,0.0,1.0
Lakeview Lodge,0.25,0.25,0.5
Extended Stay America - Los Angeles - Ontario Airport,0.0,0.0,1.0
Days Inn Marion,0.07,0.26,0.67
Protection Motel,0.0,0.33,0.67
Town Country Motel,0.4,0.5,0.1
Ramada Inn,0.06,0.61,0.33
Holiday Inn Canyon De Chelly,0.43,0.54,0.03
Lake Motel,0.41,0.5,0.09
Arcola Inn,0.09,0.51,0.4
Landmark Inn Lakes-mountain Region,0.0,0.33,0.67
Haltom Inn,0.25,0.68,0.07
Noyo Harbor Inn,0.0,0.33,0.67
Candlewood Suites West Springfield,0.34,0.58,0.08
Alyssa's Motel,0.0,0.33,0.67
Holiday Inn Express & Suites Portland,0.43,0.47,0.1
Royal Inn,0.4,0.43,0.17
Columbia Gorge Riverside Lodge,0.0,0.6,0.4
Cypress Suites,0.0,0.33,0.67
Best Western Burlington Inn,0.0,0.0,1.0
Eldorado Suites Hotel,0.51,0.46,0.03
Bent Elbow,0.33,0.52,0.15
Penzion Accom,0.28,0.39,0.33
La Quinta Inn and Suites Sunrise,0.4,0.59,0.01
Americana Resort Properties,0.0,0.33,0.67
Knights Inn Aiken,0.22,0.73,0.05
Inroads Ireland Tours,0.18,0.15,0.67
Mansfield Plantation Inc,0.44,0.44,0.12
Holiday Inn Express Pinetop,0.0,0.0,1.0
"Holiday Inn Express Howe (sturgis, Mi)",0.0,0.0,1.0
Deluxe Inn Merrillville,0.14,0.64,0.22
Super 8 Pittsburgh/monroeville,0.31,0.65,0.04
La Quinta Inn,0.0,0.0,1.0
Townplace Suites By Marriott,0.0,0.33,0.67
Cadillac Motel,0.04,0.29,0.67
Hyatt Regency Kathmandu,0.79,0.17,0.04
Mainsail Motel & Cottages,0.48,0.42,0.1
Fairfield Inn & Suites Peoria East,0.43,0.5,0.07
Holiday Inn Express and Suites Canyonville,0.45,0.51,0.04
Solstice,0.3,0.68,0.02
Country Inns Suites,0.08,0.59,0.33
Dead Broke Inn,0.0,0.33,0.67
Hampton Inn & Suites Crescent City,0.0,0.0,1.0
The Grove Seaside Hotel,0.39,0.49,0.12
Savaii Roberts Motels,0.0,0.33,0.67
"The Alexandrian, Autograph Collection",0.5,0.5,0.0
"Hotel Monaco Chicago, A Kimpton Hotel",0.42,0.41,0.17
Rips Country Inn,0.0,0.0,1.0
Holiday Inn Express Gatesville,0.0,0.33,0.67
Hilton Garden Inn Kauai Wailua Bay,0.41,0.54,0.05
Holiday Inn Express Hotel and Suites Memphis Southwind,0.41,0.56,0.03
Clarion,0.0,0.0,1.0
Mountain Lodge At Telluride - A Noble House Resort,0.48,0.51,0.01
Hampton Inn New Orleans - Downtown,0.5,0.47,0.03
Baymont Inn and Suites Enid,0.42,0.54,0.04
Quality Inn & Suites,0.35,0.62,0.03
Super 8 Carlisle-south,0.0,0.33,0.67
Americinn Coralville,0.37,0.61,0.02
Travelodge Shakopee,0.19,0.68,0.13
Hampton Inn Fayetteville Fort Bragg,0.44,0.54,0.02
Four Points-kansas,0.0,0.0,1.0
Cliff's Motor Inn,0.04,0.29,0.67
Days Inn & Suites Castle Rock,0.29,0.69,0.02
Candlewood Suites Olathe,0.37,0.48,0.15
Holiday Inn Express,0.14,0.36,0.5
Super 8 Alamosa,0.41,0.53,0.06
The Miner's Inn Motel Restaurant,0.0,0.33,0.67
Extended Stay America - Orlando Theme Parks - Vineland Rd.,0.36,0.62,0.02
White Cliff Manor Bed and Breakfast,0.44,0.39,0.17
Fiesta Inn Centro Historico,0.47,0.5,0.03
Pine Needles Golf Course,0.0,0.33,0.67
Days Inn Bloomington,0.34,0.55,0.11
Fairfield Inn/suites-marriott,0.18,0.15,0.67
Holiday Inn Express Hotel & Suites Hillview,0.0,0.0,1.0
Marquesa Hotel & Cafe Marquesa,0.0,0.0,1.0
Best Western,0.0,0.0,1.0
Mandarin Oriental Jakarta,0.51,0.47,0.02
Barber Joyce,0.0,0.33,0.67
Sunset Inn-yosemite Cabins,0.0,0.33,0.67
Ramada Vandalia,0.39,0.59,0.02
Holiday Inn Express & Suites Weslaco,0.0,0.0,1.0
Super 8 Elko Nv,0.33,0.64,0.03
Hotel Borgo Verde,0.44,0.51,0.05
Vista Hotel On Lake Tarpon,0.38,0.59,0.03
Miramar Boutique Hotel,0.45,0.49,0.06
Best Western Plus French Quarter Landmark Hotel,0.46,0.53,0.01
Red Carpet Inn,0.27,0.62,0.11
Adria Motor Inn,0.0,0.33,0.67
Quality Inn and Suites,0.33,0.66,0.01
Village Lodge,0.37,0.5,0.13
Super 8 Manhattan Ks,0.35,0.62,0.03
Olde Bridge Inn,0.0,0.33,0.67
Raintree Inn,0.36,0.5,0.14
Garden Bed and Breakfast,0.35,0.32,0.33
Alpine Motel,0.18,0.15,0.67
Wine Valley Lodge,0.44,0.55,0.01
Hilton Garden Inn Austin Nw - Arboretum,0.44,0.53,0.03
The Governor Hotel,0.38,0.54,0.08
Pullman Rail Journeys,0.43,0.46,0.11
Motor Inns of America,0.21,0.62,0.17
Profile Deluxe Motel,0.49,0.43,0.08
American Star Inn and Suites Atlantic City,0.27,0.7,0.03
Meadow Farm Bed and Breakfast,0.45,0.38,0.17
Days Inn Kuttawa,0.42,0.51,0.07
Hotel Relais De Margaux Golf and Spa,0.44,0.53,0.03
Hyatt Place San Antonio Airport - Quarry Market,0.4,0.58,0.02
Discovery Inn,0.27,0.7,0.03
Holiday Inn Lumberton North - I-95,0.0,0.0,1.0
Old Saco Inn Bed & Breakfast,0.0,0.5,0.5
Hotel Millersburg,0.41,0.51,0.08
Springhill Suites,0.0,0.33,0.67
Stratford Inn,0.0,0.33,0.67
Comfort Inn Livermore,0.4,0.57,0.03
Body Tuneup,0.0,0.33,0.67
Adobe Nido Bed & Breakfast,0.0,0.0,1.0
Tulip Inn Turin West,0.44,0.5,0.06
Hotel Portaventura,0.41,0.56,0.03
Relax Inn,0.0,0.33,0.67
Hotel Olcott,0.28,0.22,0.5
Radisson Hotel Hauppauge-long Island,0.19,0.31,0.5
Quality Inn & Suites Hanes Mall,0.33,0.58,0.09
Robins Roost Cabins,0.0,0.33,0.67
Hampton Inn,0.11,0.49,0.4
Candlewood Suites Huntersville,0.44,0.53,0.03
Super 8 Longmont / Del Camino,0.32,0.63,0.05
Holiday Inn Express Dahlonega,0.44,0.54,0.02
Briarcliff,0.44,0.42,0.14
Lake Hill Cabins,0.0,0.33,0.67
Warwick Denver,0.4,0.57,0.03
Econo Lodge Inn & Suites,0.0,0.0,1.0
Falls Motel,0.33,0.52,0.15
Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,0.39,0.59,0.02
Berkshire By The Sea A Vri Resort,0.45,0.38,0.17
Days Inn Bangor Airport,0.39,0.57,0.04
Fireline Hotel,0.0,0.67,0.33
Brooks Donald L Jr,0.0,0.33,0.67
Days Inn Geneva,0.27,0.48,0.25
Fh Hotel Villa Fiesole,0.47,0.5,0.03
Clarion Inn,0.3,0.53,0.17
Porto Vista Hotel,0.25,0.42,0.33
The Litchfield Inn,0.0,0.87,0.13
Sam's Town Hotel & Gmblng Hall,0.0,0.0,1.0
Hotel Deca - A Noble House Hotel,0.42,0.57,0.01
Boiling Springs Resort Canoe Rental,0.15,0.52,0.33
Advance Motel,0.04,0.29,0.67
Edgewater Inn & Cottages,0.0,0.33,0.67
Hilton Princess San Pedro Sula,0.46,0.49,0.05
Pelican Shores Inn,0.74,0.23,0.03
Hyatt Place Utica,0.48,0.49,0.03
Hotel Roc Lago Rojo,0.4,0.57,0.03
Amisos Hotel,0.4,0.54,0.06
Red Banks Motel,0.17,0.33,0.5
Hotel Guadalmedina,0.0,0.0,1.0
Intercontinental Hotels Resorts,0.0,0.33,0.67
Greektown Casino,0.0,0.0,1.0
The Kinney - Venice Beach,0.44,0.52,0.04
Scenic View Motel,0.18,0.15,0.67
Holiday Inn Rutland-killington Area,0.0,0.0,1.0
Plaza Hotel and Casino - Las Vegas,0.36,0.63,0.01
Monarch of Rancho Mirag,0.37,0.41,0.22
Seiling Motel,0.34,0.44,0.22
Quality Inn Johnson City,0.4,0.57,0.03
Fort Conde Inn,0.49,0.44,0.07
Regency Inn Motel,0.0,0.33,0.67
Super 8 Dallas South,0.3,0.67,0.03
Baymont Inn & Suites Griffin,0.44,0.53,0.03
Holiday Inn Express - Harrisburg East,0.41,0.57,0.02
Kilauea Lodge Restaurant,0.18,0.15,0.67
Dallas/fort Worth Marriott Solana,0.47,0.49,0.04
Old Wheeler Hotel,0.3,0.37,0.33
The Chestnut Boutique Hotel,0.42,0.51,0.07
Red Fox Motel,0.0,0.33,0.67
The Inn On Negley,0.52,0.41,0.07
Wyndham Vacation Resorts Towers On The Grove,0.41,0.5,0.09
America's Best Value Inn,0.18,0.67,0.15
Super 8 Kingston,0.37,0.59,0.04
Leakey Springs Cabins,0.0,0.33,0.67
Hotel Mc Call,0.44,0.49,0.07
Super 8 Worthington Minnesota,0.26,0.7,0.04
Quality Inn Near Six Flags,0.39,0.57,0.04
Americinn Lodge Suites Austin,0.45,0.49,0.06
Holiday Inn Spearfish-convention Center,0.22,0.28,0.5
Mar Mar Resort Tackle,0.3,0.37,0.33
Cambria Hotel & Suites,0.48,0.49,0.03
Best Western Hotel Goldenmile Milan,0.0,0.0,1.0
Rideout's Lakeside Lodge Cottages,0.0,0.33,0.67
Days Inn Ruther Glen Kings Dominion Area,0.24,0.72,0.04
Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.44,0.54,0.02
Turf Motel,0.34,0.57,0.09
Homewood Suites By Hilton,0.0,0.0,1.0
Rangeland Court Motel & Rv,0.45,0.38,0.17
Red Roof Inn St Louis - Troy,0.43,0.55,0.02
Best Western Plus-seaport Inn,0.37,0.3,0.33
Hampton Inn Abilene,0.46,0.52,0.02
Aspen Alps,0.45,0.38,0.17
Holiday Inn Express Henderson,0.0,0.0,1.0
Country Inn and Suites By Carlson,0.39,0.57,0.04
Main Street Bed & Breakfast,0.48,0.39,0.13
Tidewater Inn,0.37,0.62,0.01
Uptown Motel,0.13,0.65,0.22
Villa Carlotta,0.53,0.43,0.04
Extended Stay America - Fort Lauderdale - Davie,0.32,0.65,0.03
Spruce Meadow Cabins,0.0,0.5,0.5
Silver Run Cabins,0.48,0.39,0.13
Jacksonville Plaza Hotel and Suites,0.39,0.6,0.01
Hawthorn Suites Dayton North,0.25,0.71,0.04
Suburban Extended Stay of Memphis Bartlett,0.23,0.69,0.08
Knights Inn Durango Co,0.0,0.33,0.67
Homewood Suites - Mall of America,0.46,0.51,0.03
Days Inn,0.35,0.59,0.06
Twelve Hotels & Residences,0.36,0.6,0.04
Embassy Suites By Hilton Houston Downtown,0.46,0.37,0.17
Super 8 Cloquet,0.38,0.53,0.09
Extended Stay America - Rockford - I-90,0.4,0.57,0.03
Bailey Hotel,0.0,0.33,0.67
Red Rest Inn,0.34,0.63,0.03
Colonial Inns of Ontario,0.15,0.18,0.67
Hotel Silken Siete Coronas,0.48,0.5,0.02
Corey Motel,0.0,0.33,0.67
Cherry Orchard Inn,0.32,0.65,0.03
Hotel Vorbach,0.42,0.53,0.05
Eden Park Guest House,0.2,0.68,0.12
Lakeway Resort & Spa,0.48,0.5,0.02
Knights Inn Amarillo Airport,0.17,0.74,0.09
La Quinta Inn and Suites Nashville Franklin,0.37,0.61,0.02
Close For You,0.0,0.33,0.67
Blue Jay Motel,0.5,0.43,0.07
Chelsea Inn,0.43,0.56,0.01
Whiteface Chalet,0.0,0.5,0.5
Homewood Suites,0.0,0.5,0.5
Super 8 Motel Fairmont,0.36,0.55,0.09
Great Basin Inn,0.24,0.59,0.17
Comfort Inn - Springfield,0.42,0.56,0.02
Stirling City Hotel,0.0,0.33,0.67
Sombrero Resort and Marina,0.29,0.69,0.02
Key West Inn - Clanton,0.29,0.54,0.17
Days Inn West Memphis,0.36,0.62,0.02
Worldwide Hospitality Supply Company,0.0,0.33,0.67
Plantation Inn,0.07,0.53,0.4
Comfort Suites South,0.0,0.6,0.4
Marriott Hotels Resorts Suites,0.0,0.0,1.0
Sybaris Pool Suites,0.42,0.33,0.25
Miss Kitty's Boarding House,0.0,0.33,0.67
Sheraton Offenbach Hotel,0.41,0.55,0.04
Extended Stay America - Raleigh - Cary - Regency Parkway S,0.34,0.63,0.03
Suburban Extended Stay Warner Robins,0.35,0.55,0.1
Jvd Hotels,0.25,0.72,0.03
Holiday Inn-bayside,0.0,0.0,1.0
Pavilion Lodge,0.0,0.33,0.67
Ritz Hotel,0.0,0.33,0.67
Arrowhead Motel and Rv Park,0.47,0.38,0.15
Parkside Inn At Incline,0.4,0.58,0.02
Saddleback Motor Inn,0.0,0.33,0.67
Sherwood Hills Resort,0.0,0.0,1.0
Holiday Inn Express Hotel and Suites Raleigh-wakefield,0.48,0.49,0.03
Arion,0.48,0.47,0.05
Una Hotel Forte Dei Marmi,0.43,0.53,0.04
Days Inn Newton,0.0,0.0,1.0
A Swallow's Nest Motel,0.0,0.33,0.67
Canyon Gate Motel,0.3,0.55,0.15
Cascabel,0.0,0.33,0.67
Hampton Inn & Suites Fort Worth-west-i-30,0.51,0.47,0.02
Fireside Inn Santa Cruz,0.34,0.63,0.03
Mandarin Oriental Hotel Group,0.11,0.22,0.67
Bellaire Motel Lodge,0.0,0.5,0.5
"Palomar Washington Dc, A Kimpton Hotel",0.25,0.25,0.5
Bay Shores Yachttennisclub 514 2 Br Condo By Redawning,0.46,0.39,0.15
Hilton Santo Domingo,0.45,0.51,0.04
Atlantic House,0.27,0.62,0.11
Frontier Cabins Motel,0.0,0.33,0.67
Samui Cliff View Resort & Spa,0.39,0.53,0.08
Country Inn & Suites By Carlson,0.43,0.54,0.03
Hampton Inn-st Robert,0.0,0.0,1.0
Best Western Holiday Hills,0.46,0.51,0.03
Tiffany House Bed & Breakfast,0.0,0.33,0.67
Progress Management Co,0.0,0.33,0.67
Norwood Inn and Suites,0.15,0.82,0.03
Howard Johnson Inn - Newburgh,0.31,0.69,0.0
Holiday Inn Express Colton-riverside North,0.35,0.63,0.02
Sutton Bay Resort,0.0,0.0,1.0
La Quinta Inn Calhoun,0.45,0.53,0.02
Colonial Motel,0.0,0.33,0.67
Fairfield Inn Saginaw,0.47,0.51,0.02
Extended Stay America Philadelphia - Exton,0.0,0.5,0.5
Saco River Recreational Council,0.0,0.33,0.67
Ihg,0.0,0.5,0.5
Red Roof Inn Somerset,0.0,0.0,1.0
Wallowa Lake Vacation Rentals,0.0,0.33,0.67
Hotel Casena Dei Colli,0.4,0.57,0.03
Chalet Leon At Hector Falls,0.0,0.33,0.67
Fairfield Inn Suites Chattanooga South/east Ridge,0.43,0.51,0.06
Midvalley Motel,0.0,0.33,0.67
Ubaa Old Crawford Inn,0.15,0.18,0.67
Holiday Inn Express Hotel Suites Sedalia,0.41,0.42,0.17
Hampton Inn & Suites Syracuse/carrier Circle,0.45,0.46,0.09
Quality Inn and Suites Eugene-springfield,0.42,0.55,0.03
Four Points By Sheraton Memphis Southwind,0.39,0.5,0.11
Americinn Lodge Suites Princeton,0.51,0.45,0.04
Juniper Lane Guest House,0.41,0.44,0.15
Bosselmans Pump Pantry Motel,0.19,0.31,0.5
Harrah's Laughlin Hotel and Casino,0.36,0.62,0.02
Americas Best Value Inn and Suites,0.28,0.68,0.04
Masters Inn,0.06,0.44,0.5
The Westin Europa and Regina,0.46,0.5,0.04
Super 8 Opelousas,0.23,0.52,0.25
Melia Paris Champs-elys��es,0.43,0.53,0.04
Sci�� On Martin,0.33,0.42,0.25
Springhill Suites By Marriott South Bend/mishawaka,0.0,0.0,1.0
Inn At The River,0.0,0.33,0.67
Country Inn and Suites By Carlson Charlotte University Place,0.44,0.54,0.02
Holiday Inn Express Eagle,0.0,0.0,1.0
Sir Walter Raleigh Inns of Greenbelt,0.0,0.33,0.67
Gardena Terrace Inn,0.38,0.6,0.02
Quality Suites Intercontinental Airport West,0.41,0.56,0.03
1785 Inn,0.26,0.63,0.11
Best Western Knoxville Suites,0.43,0.54,0.03
The Jayakarta Bali,0.35,0.62,0.03
Holiday Inn Express Grove City (outlet Center),0.45,0.5,0.05
Hotel Aura Sfo,0.43,0.55,0.02
Hampton Inn Bloomington West,0.48,0.48,0.04
Quality Inn & Suites Historic St. Charles,0.0,0.0,1.0
Best Western Plus San Marcos Inn,0.41,0.57,0.02
Budget Inn-santa Maria,0.04,0.29,0.67
Equestrian Estates Horse Farm Bed and Breakfast,0.41,0.46,0.13
Comfort Inn Deland - Near University,0.47,0.5,0.03
Boardroom Motel,0.24,0.62,0.14
Carleton Hotel,0.0,0.33,0.67
Wisconsin-aire Motel,0.37,0.41,0.22
High Desert Motel,0.38,0.53,0.09
Best Western of Long Beach,0.41,0.58,0.01
Days Inn Berea Ky,0.0,0.0,1.0
East Side Motel Cabins,0.28,0.22,0.5
Abbeville Inn,0.0,0.0,1.0
Comfort Suites Mount Vernon,0.43,0.4,0.17
Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.47,0.5,0.03
Holiday Inn Express Hotel Suites Cookeville,0.19,0.31,0.5
Fairbridge Inn,0.26,0.71,0.03
Four Seasons Country Inn,0.4,0.49,0.11
Gooding Hotel Bed Breakfast,0.43,0.4,0.17
Grand Hotel Cadenabbia,0.37,0.6,0.03
Pillar Hotels Resorts,0.0,0.33,0.67
Hotel An Der Philharmonie,0.43,0.54,0.03
Microtel Inn,0.0,0.0,1.0
Crestview Condominiums,0.42,0.44,0.14
Comfort Hotel Nation Pere Lachaise Paris 11,0.38,0.59,0.03
Cedar Crest Inn,0.0,0.5,0.5
Spring Fountain Motel,0.0,0.33,0.67
Innisbrook,0.45,0.52,0.03
Cougar Crest Lodge,0.46,0.37,0.17
Springhill Suites By Marriott Sarasota Bradenton,0.38,0.56,0.06
Fairfield Inn and Suites By Marriott Plainville,0.46,0.51,0.03
Holiday Inn Express Hotel & Suites Chicago-deerfield/lincolnshire,0.43,0.43,0.14
Camelback Resort Aquatopia Indoor Waterpark,0.16,0.44,0.4
Marriott's Mountainside At Park City,0.45,0.52,0.03
Fairfield Inn & Suites Atlanta Perimeter Center,0.4,0.58,0.02
Hampton Inn Jackson Hole,0.0,0.0,1.0
Shoshone Lodge,0.0,0.33,0.67
Magton Inc,0.0,0.33,0.67
Quality Inn & Suites - Riverfront,0.0,0.33,0.67
Super 8 Schenect/albany Area,0.36,0.62,0.02
Intown Suites El Paso,0.17,0.61,0.22
Extended Stay America - Columbia - Northwest Harbison,0.37,0.6,0.03
Hilton San Diego Airport/harbor Island,0.43,0.55,0.02
Candlewood Suites Oklahoma City-moore,0.52,0.45,0.03
Holiday Inn Express & Suites Bay City,0.39,0.55,0.06
Rodeway Inn-tacoma,0.0,0.0,1.0
Western Inn-glacier Park,0.34,0.63,0.03
Americinn Lodge & Suites Appleton,0.33,0.61,0.06
Hampton Inn Sarasota - I-75 Bee Ridge,0.41,0.58,0.01
Amerihost Inn,0.0,0.33,0.67
Country Inn and Suites By Carlson Galena,0.47,0.52,0.01
Days Inn Suites,0.0,0.33,0.67
Hampton Inn Roanoke/salem,0.43,0.43,0.14
School House Motel,0.0,0.33,0.67
1900 House,0.44,0.44,0.12
Excellence Riviera Cancun - Adults Only - All Inclusive,0.53,0.44,0.03
Hyatt Centric Arlington,0.41,0.42,0.17
Days Inn Bowling Green,0.18,0.76,0.06
Hotel Metropole,0.49,0.48,0.03
Inn & Suites,0.0,0.0,1.0
Anglers Inn,0.42,0.55,0.03
Super 8 Crete Ne,0.33,0.62,0.05
H��tel Marinca and Spa,0.32,0.48,0.2
Hyatt Place Pittsburgh Cranberry,0.47,0.51,0.02
Four Seasons Hotel St. Louis,0.51,0.47,0.02
El Dorado Seaside Suites By Karisma - All Inclusive,0.46,0.49,0.05
Courtyard San Marcos,0.43,0.4,0.17
Fairfield Inn Suites Spearfish,0.33,0.58,0.09
Best Western Hospitality Hotel and Suites,0.39,0.6,0.01
Hotel Adler Cavalieri,0.46,0.51,0.03
Royal Inn Motel,0.18,0.15,0.67
Ambiance,0.0,0.0,1.0
Rodeway Inn Bushnell,0.0,0.0,1.0
Microtel Inn By Wyndham Knoxville,0.31,0.67,0.02
Candlewood,0.0,0.33,0.67
Menehune Reservations,0.36,0.46,0.18
Staybridge Suites Chicago - Glenview,0.39,0.56,0.05
Riverside Lodge,0.0,0.33,0.67
Patalya Thermal Resort,0.31,0.52,0.17
H��tel Les Bruy��res,0.46,0.49,0.05
Comfort Inn Birmingham - Irondale,0.37,0.6,0.03
Super 8 Madison,0.4,0.56,0.04
Comfort Inn & Suites,0.36,0.55,0.09
Concord Apartments By Boq Lodging,0.0,0.0,1.0
Holiday Inn Express & Suites West Monroe,0.38,0.6,0.02
Double Eagle Hotel and Casino,0.39,0.57,0.04
Rainbow Motel,0.0,0.5,0.5
"Country Inn & Suites By Carlson, Rocky Mount, Nc",0.42,0.53,0.05
Ip Casino Resort Spa,0.45,0.54,0.01
La Quinta Inn & Suites Bryant,0.51,0.46,0.03
Travelodge Anaheim Convention Center,0.32,0.67,0.01
Hampton Inn Tucson-airport,0.47,0.52,0.01
Beacon Motel,0.0,0.33,0.67
Super 8 Sallisaw,0.0,0.0,1.0
Wilshire Inn Motel,0.06,0.44,0.5
Palm Suites,0.38,0.6,0.02
Hampton Inn & Suites-downtown-tutwiler,0.48,0.5,0.02
Narcis,0.34,0.49,0.17
Econo Lodge Big Spring,0.0,0.0,1.0
La Quinta Inn and Suites Miami Cutler Bay,0.38,0.59,0.03
Candlewood Suites Fort Smith,0.0,0.0,1.0
Courtyard Burlington Harbor,0.46,0.51,0.03
Terrace Inns Suites,0.0,0.33,0.67
Rapid City Days Inn,0.2,0.4,0.4
Foxburg Inn,0.0,0.33,0.67
Aspen Haus Bed and Breakfast,0.47,0.44,0.09
Fort's Cedar View,0.18,0.15,0.67
