utente/$/$/hotel,somma
Kim/$/$/Hampton Inn New Orleans - Downtown,0.5
Kim/$/$/Vista Hotel On Lake Tarpon,0.49
Kim/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.52
Kim/$/$/Plaza Hotel and Casino - Las Vegas,0.44
Kim/$/$/Sombrero Resort and Marina,0.41
Kim/$/$/Fireside Inn Santa Cruz,0.43
Kim/$/$/Country Inn & Suites By Carlson,0.97
Kim/$/$/Hampton Inn Dublin,0.48
Kim/$/$/Super 8 Kansas City Airport,0.44
Kim/$/$/Microtel Inn and Suites By Wyndham Burlington,0.46
Kim/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.56
Kim/$/$/Americas Best Value Inn,0.4
Kim/$/$/Econo Lodge Miles City,0.45
Kim/$/$/Holiday Inn Express & Suites Crossville,0.52
Kim/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.51
write a review/$/$/Americas Best Value Inn,0.3
write a review/$/$/Intermezzo,0.0
write a review/$/$/Studio 6,0.0
write a review/$/$/Little Paradise Hotel,0.47
write a review/$/$/Little Belt Inn Neihart,0.0
write a review/$/$/Gresham Area Hotels,0.0
write a review/$/$/The Amble Inn,0.0
write a review/$/$/The Kingsport Inn,0.0
write a review/$/$/Rodeway Inn,0.3
write a review/$/$/Kaier Mansion,0.0
write a review/$/$/Economy Inn,0.2
write a review/$/$/Super 8,0.23
write a review/$/$/Mt Gardner Inn,0.5
write a review/$/$/North Country Inn B & B,0.4
write a review/$/$/Unionport Lodge No 333 F A M,0.0
write a review/$/$/Pheasant Manor,0.0
write a review/$/$/Americinn Lodge and Suites,0.0
write a review/$/$/Knights Inn,0.0
write a review/$/$/Truckee Tahoe Htl Larkspur,0.0
write a review/$/$/The White House Inn,0.0
write a review/$/$/Davison St Guest House,0.0
write a review/$/$/Chippewa Hotel,0.0
write a review/$/$/Martin Mason Hotel,0.43
write a review/$/$/La Quinta,0.21
write a review/$/$/Lake Motel,0.41
write a review/$/$/Landmark Inn Lakes-mountain Region,0.0
write a review/$/$/Noyo Harbor Inn,0.0
write a review/$/$/Alyssa's Motel,0.0
write a review/$/$/Columbia Gorge Riverside Lodge,0.0
write a review/$/$/Cypress Suites,0.0
write a review/$/$/Americana Resort Properties,0.0
write a review/$/$/Mansfield Plantation Inc,0.44
write a review/$/$/Ramada,0.69
write a review/$/$/Country Inns Suites,0.08
write a review/$/$/Comfort Inn,0.44
write a review/$/$/Dead Broke Inn,0.0
write a review/$/$/Holiday Inn Express Gatesville,0.0
write a review/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.41
write a review/$/$/Motel 6,0.28
write a review/$/$/The Miner's Inn Motel Restaurant,0.0
write a review/$/$/Barber Joyce,0.0
write a review/$/$/Sunset Inn-yosemite Cabins,0.0
write a review/$/$/Ramada Vandalia,0.39
write a review/$/$/Adria Motor Inn,0.0
write a review/$/$/Quality Inn and Suites,0.33
write a review/$/$/Olde Bridge Inn,0.0
write a review/$/$/Old Saco Inn Bed & Breakfast,0.0
write a review/$/$/Springhill Suites,0.0
write a review/$/$/Body Tuneup,0.0
write a review/$/$/Robins Roost Cabins,0.0
write a review/$/$/Hampton Inn,0.11
write a review/$/$/Briarcliff,0.44
write a review/$/$/Days Inn Bangor Airport,0.39
write a review/$/$/The Litchfield Inn,0.0
write a review/$/$/Boiling Springs Resort Canoe Rental,0.15
write a review/$/$/Edgewater Inn & Cottages,0.0
write a review/$/$/Intercontinental Hotels Resorts,0.0
write a review/$/$/Red Carpet Inn,0.27
write a review/$/$/Holiday Inn Express - Harrisburg East,0.41
write a review/$/$/Relax Inn,0.0
write a review/$/$/Red Fox Motel,0.0
write a review/$/$/Leakey Springs Cabins,0.0
write a review/$/$/Turf Motel,0.34
write a review/$/$/Uptown Motel,0.13
write a review/$/$/Spruce Meadow Cabins,0.0
write a review/$/$/Bailey Hotel,0.0
write a review/$/$/Corey Motel,0.0
write a review/$/$/Eden Park Guest House,0.2
write a review/$/$/Close For You,0.0
write a review/$/$/Whiteface Chalet,0.0
write a review/$/$/Stirling City Hotel,0.0
write a review/$/$/Worldwide Hospitality Supply Company,0.0
write a review/$/$/Comfort Suites South,0.0
write a review/$/$/Pavilion Lodge,0.0
write a review/$/$/Ritz Hotel,0.0
write a review/$/$/Saddleback Motor Inn,0.0
write a review/$/$/Canyon Gate Motel,0.3
write a review/$/$/Fireside Inn Santa Cruz,0.34
write a review/$/$/Bellaire Motel Lodge,0.0
write a review/$/$/Atlantic House,0.27
write a review/$/$/Frontier Cabins Motel,0.0
write a review/$/$/Best Western Holiday Hills,0.46
write a review/$/$/Tiffany House Bed & Breakfast,0.0
write a review/$/$/Progress Management Co,0.0
write a review/$/$/Colonial Motel,0.0
write a review/$/$/Extended Stay America Philadelphia - Exton,0.0
write a review/$/$/Ihg,0.0
write a review/$/$/Midvalley Motel,0.0
write a review/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.45
write a review/$/$/Harrah's Laughlin Hotel and Casino,0.64
write a review/$/$/Americas Best Value Inn and Suites,0.28
write a review/$/$/Inn At The River,0.0
write a review/$/$/Sir Walter Raleigh Inns of Greenbelt,0.0
write a review/$/$/1785 Inn,0.26
write a review/$/$/Hotel Aura Sfo,0.43
write a review/$/$/Best Western Plus San Marcos Inn,0.41
write a review/$/$/Boardroom Motel,0.24
write a review/$/$/Carleton Hotel,0.0
write a review/$/$/High Desert Motel,0.38
write a review/$/$/Pillar Hotels Resorts,0.0
write a review/$/$/Cedar Crest Inn,0.0
write a review/$/$/Spring Fountain Motel,0.0
write a review/$/$/Shoshone Lodge,0.0
write a review/$/$/Quality Inn & Suites - Riverfront,0.0
write a review/$/$/Days Inn Suites,0.0
write a review/$/$/School House Motel,0.0
write a review/$/$/1900 House,0.44
write a review/$/$/Super 8 Crete Ne,0.33
write a review/$/$/Fairfield Inn Suites Spearfish,0.33
write a review/$/$/Candlewood,0.0
write a review/$/$/Holiday Inn Express,0.14
write a review/$/$/Rainbow Motel,0.0
write a review/$/$/Travelodge Anaheim Convention Center,0.32
write a review/$/$/Courtyard Burlington Harbor,0.46
write a review/$/$/Terrace Inns Suites,0.0
write a review/$/$/Terry Peak Ski Area,0.0
write a review/$/$/Chalfant House,0.0
write a review/$/$/Budget Inn,0.33
write a review/$/$/Hitching Horse Inn,0.34
write a review/$/$/Sheraton Baltimore North Hotels,0.0
write a review/$/$/Hampton Inn & Suites Douglas,0.0
write a review/$/$/Quality Inn,0.33
write a review/$/$/Bethesda Gardens,0.0
write a review/$/$/Gateway Studios,0.0
write a review/$/$/Simpson House Inn,0.52
write a review/$/$/Roy-el Motel,0.0
write a review/$/$/Lindy Motel,0.0
write a review/$/$/Cal Neva Resort,0.0
write a review/$/$/Fairfield Inn & Suites Des Moines Airport,0.0
write a review/$/$/Cliffrose Lodge Gardens,0.52
write a review/$/$/Budget Host,0.0
write a review/$/$/Keyser Inn Inc,0.0
write a review/$/$/Bear Cove Inn,0.39
write a review/$/$/Antlers Inn,0.4
write a review/$/$/Marylander Hotel Condo,0.39
write a review/$/$/Hamton Inn New Orleans Westbank,0.0
write a review/$/$/Sky Vue Motel,0.0
write a review/$/$/Fitzgerald's Restaurant,0.0
write a review/$/$/Clarion Inn Strasburg - Lancaster,0.0
write a review/$/$/The Parkview Memphis,0.0
write a review/$/$/Homewood Suites,0.0
write a review/$/$/Hampton Inn Dublin,0.43
write a review/$/$/Agate Beach Motel,0.47
write a review/$/$/Sterling Motel,0.09
write a review/$/$/Mt. Washington Bed and Breakfast,0.44
write a review/$/$/Central House,0.0
write a review/$/$/Economy Motel,0.0
write a review/$/$/Irish House Hotel,0.0
write a review/$/$/Clubhouse At River Country Est,0.0
write a review/$/$/P K Motel,0.0
write a review/$/$/Brasstown Valley Golf Club,0.0
write a review/$/$/Calloway Inn,0.0
write a review/$/$/Twin Gables of Woodstock,0.38
write a review/$/$/Baymont Inn and Suites Boone,0.31
write a review/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.56
write a review/$/$/Holiday Inn Express Suites Floresville,0.0
write a review/$/$/Villager Inn Motel,0.03
"write a review/$/$/La Posada Lodge & Casitas, An Ascend Hotel Collection Member",0.03
write a review/$/$/Mericana Motel,0.0
write a review/$/$/Days Inn,0.35
write a review/$/$/Marriott Springhill Marina,0.0
write a review/$/$/The Desmond House Bed & Breakfast,0.0
write a review/$/$/Pine Shadows Motel,0.0
write a review/$/$/Port-o-call Motel,0.0
write a review/$/$/Avalon Hotel Group,0.0
write a review/$/$/Liberty Lodge,0.0
write a review/$/$/Econo Lodge,0.43
write a review/$/$/Tmc Resort Rentals,0.0
write a review/$/$/West Side Motel,0.0
write a review/$/$/Rodeway Inn Near Venice Beach,0.0
write a review/$/$/Atlanta Marriott Northwest At Galleria,0.0
write a review/$/$/Busy B Ranch,0.0
write a review/$/$/Starwood Resorts Hotel,0.0
write a review/$/$/Sea View Motel,0.43
write a review/$/$/Brookside Motel,0.0
write a review/$/$/Torian Plum By Wyndham Vacation Rentals,0.0
write a review/$/$/River Oaks Golf Villas,0.0
write a review/$/$/Wakonda Hotel & Bar,0.0
write a review/$/$/Five Seasuns Bed & Breakfast Inn,0.37
write a review/$/$/Lazy T Motel,0.08
write a review/$/$/Rock A Bye Inn,0.0
write a review/$/$/Simoni's Fremont Inn,0.0
write a review/$/$/Extended Stay America Grand Rapids - Kentwood,0.0
Flo H/$/$/Little Paradise Hotel,0.47
Julie R/$/$/Little Paradise Hotel,0.47
Julie R/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.55
martin n/$/$/Little Paradise Hotel,0.47
shetravels66/$/$/Little Paradise Hotel,0.47
Mary Ellen R/$/$/Little Paradise Hotel,0.47
Michael C/$/$/Little Paradise Hotel,0.47
Michael C/$/$/Fairfield Inn and Suites By Marriott Plainville,0.5
Michael C/$/$/Comfort Inn,0.48
Bill R/$/$/Little Paradise Hotel,0.47
EnzoTemko/$/$/Little Paradise Hotel,0.47
B C/$/$/Little Paradise Hotel,0.47
wpdesousa-mauk/$/$/Little Paradise Hotel,0.47
Chris_Audrey/$/$/Little Paradise Hotel,0.47
Sam M/$/$/Little Paradise Hotel,0.47
southseacarrie/$/$/Little Paradise Hotel,0.47
jackoNEEngland/$/$/Little Paradise Hotel,0.47
MarcvonBern/$/$/Little Paradise Hotel,0.47
laradc/$/$/Little Paradise Hotel,0.47
ptnp02/$/$/Little Paradise Hotel,0.47
Terri B/$/$/Little Paradise Hotel,0.47
Terri B/$/$/Holiday Inn Express & Suites West Monroe,0.48
clemensn0npapa/$/$/Little Paradise Hotel,0.47
Paul S/$/$/Little Paradise Hotel,0.47
Paul S/$/$/Hampton Inn and Suites Annapolis,0.49
BucketBound/$/$/Comfort Suites,0.43
BucketBound/$/$/La Quinta Inn and Suites Meridian,0.38
Wesley P/$/$/Comfort Suites,0.43
jktmrose/$/$/Comfort Suites,0.53
KatieG958/$/$/Comfort Suites,0.43
Isaac D. T/$/$/Comfort Suites,0.43
WinchesterWanderlust/$/$/Comfort Suites,0.53
Paul Z/$/$/Comfort Suites,0.43
Paul Z/$/$/La Quinta Inn and Suites Sunrise,1.12
RenLew/$/$/Comfort Suites,0.43
Jennifer R/$/$/Comfort Suites,0.5
Jennifer R/$/$/Fairfield Inn & Suites Peoria East,0.43
Jennifer R/$/$/Best Western of Long Beach,0.5
TexasTigger23/$/$/Comfort Suites,0.43
Shante W/$/$/Comfort Suites,0.43
henry l/$/$/Comfort Suites,0.53
Del C/$/$/Comfort Suites,0.43
Brandon J/$/$/Comfort Suites,0.43
Sherry B/$/$/Comfort Suites,0.43
Sherry B/$/$/Boardroom Motel,0.24
az_gal/$/$/Thunderbird Executive Inn and Conference Center,0.11
xxxxxxxxxxxxxx/$/$/Little Belt Inn Neihart,0.0
xxxxxxxxxxxxxx/$/$/Howard Johnson,0.24
xxxxxxxxxxxxxx/$/$/Ramada,0.4
xxxxxxxxxxxxxx/$/$/The National Conference Center,0.36
xxxxxxxxxxxxxx/$/$/Manor Vail Lodge,0.0
"xxxxxxxxxxxxxx/$/$/The Golden Hotel, An Ascend Hotel Collection Member",0.0
xxxxxxxxxxxxxx/$/$/Courtyard Hattiesburg,0.35
xxxxxxxxxxxxxx/$/$/Durango Travelodge,0.57
xxxxxxxxxxxxxx/$/$/Martin Mason Hotel,0.43
xxxxxxxxxxxxxx/$/$/Protection Motel,0.0
xxxxxxxxxxxxxx/$/$/Ramada Inn,0.06
xxxxxxxxxxxxxx/$/$/Columbia Gorge Riverside Lodge,0.0
xxxxxxxxxxxxxx/$/$/Econo Lodge,0.43
xxxxxxxxxxxxxx/$/$/Townplace Suites By Marriott,0.0
xxxxxxxxxxxxxx/$/$/Solstice,0.55
xxxxxxxxxxxxxx/$/$/Savaii Roberts Motels,0.0
xxxxxxxxxxxxxx/$/$/Super 8 Carlisle-south,0.0
xxxxxxxxxxxxxx/$/$/Pine Needles Golf Course,0.0
xxxxxxxxxxxxxx/$/$/Super 8 Elko Nv,0.33
xxxxxxxxxxxxxx/$/$/La Quinta,0.21
xxxxxxxxxxxxxx/$/$/Old Saco Inn Bed & Breakfast,0.0
xxxxxxxxxxxxxx/$/$/Hotel Millersburg,0.41
xxxxxxxxxxxxxx/$/$/Stratford Inn,0.0
xxxxxxxxxxxxxx/$/$/Super 8 Longmont / Del Camino,0.32
xxxxxxxxxxxxxx/$/$/Lake Hill Cabins,0.0
xxxxxxxxxxxxxx/$/$/Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,0.39
xxxxxxxxxxxxxx/$/$/Days Inn Bangor Airport,0.39
xxxxxxxxxxxxxx/$/$/Fireline Hotel,0.0
xxxxxxxxxxxxxx/$/$/Brooks Donald L Jr,0.0
xxxxxxxxxxxxxx/$/$/Regency Inn Motel,0.0
xxxxxxxxxxxxxx/$/$/America's Best Value Inn,0.18
xxxxxxxxxxxxxx/$/$/Rideout's Lakeside Lodge Cottages,0.0
xxxxxxxxxxxxxx/$/$/Spruce Meadow Cabins,0.0
xxxxxxxxxxxxxx/$/$/Knights Inn Durango Co,0.0
xxxxxxxxxxxxxx/$/$/Days Inn,0.35
xxxxxxxxxxxxxx/$/$/Homewood Suites,0.0
xxxxxxxxxxxxxx/$/$/Miss Kitty's Boarding House,0.0
xxxxxxxxxxxxxx/$/$/Jvd Hotels,0.25
xxxxxxxxxxxxxx/$/$/A Swallow's Nest Motel,0.0
xxxxxxxxxxxxxx/$/$/Cascabel,0.0
xxxxxxxxxxxxxx/$/$/Bellaire Motel Lodge,0.0
xxxxxxxxxxxxxx/$/$/Extended Stay America Philadelphia - Exton,0.0
xxxxxxxxxxxxxx/$/$/Saco River Recreational Council,0.0
xxxxxxxxxxxxxx/$/$/Wallowa Lake Vacation Rentals,0.0
xxxxxxxxxxxxxx/$/$/Chalet Leon At Hector Falls,0.0
xxxxxxxxxxxxxx/$/$/Juniper Lane Guest House,0.41
xxxxxxxxxxxxxx/$/$/Comfort Inn,0.44
xxxxxxxxxxxxxx/$/$/Holiday Inn Express Grove City (outlet Center),0.45
xxxxxxxxxxxxxx/$/$/Boardroom Motel,0.24
xxxxxxxxxxxxxx/$/$/Cedar Crest Inn,0.0
xxxxxxxxxxxxxx/$/$/Magton Inc,0.0
xxxxxxxxxxxxxx/$/$/Holiday Inn Express & Suites Bay City,0.39
xxxxxxxxxxxxxx/$/$/Amerihost Inn,0.0
xxxxxxxxxxxxxx/$/$/Days Inn Bowling Green,0.18
xxxxxxxxxxxxxx/$/$/Studio 6,0.0
xxxxxxxxxxxxxx/$/$/Hyatt Place Pittsburgh Cranberry,0.47
xxxxxxxxxxxxxx/$/$/Riverside Lodge,0.0
xxxxxxxxxxxxxx/$/$/Comfort Inn & Suites,0.36
xxxxxxxxxxxxxx/$/$/Beacon Motel,0.0
xxxxxxxxxxxxxx/$/$/Country Inns Suites,0.08
xxxxxxxxxxxxxx/$/$/Foxburg Inn,0.0
xxxxxxxxxxxxxx/$/$/Terry Peak Ski Area,0.0
xxxxxxxxxxxxxx/$/$/Bay Haven Inn Bed Breakfast,0.0
xxxxxxxxxxxxxx/$/$/Best Western Plus Humboldt House Inn,0.38
xxxxxxxxxxxxxx/$/$/Albert's Motel,0.0
xxxxxxxxxxxxxx/$/$/Towneplace Suites,0.0
xxxxxxxxxxxxxx/$/$/Kit Carson Lodge Restaurant,0.0
xxxxxxxxxxxxxx/$/$/Watermark Bed Breakfast,0.0
xxxxxxxxxxxxxx/$/$/Sids Resort,0.0
xxxxxxxxxxxxxx/$/$/Comfort Inn Humboldt Bay,0.43
xxxxxxxxxxxxxx/$/$/Mountaintop Lodge Bed Breakfast,0.0
xxxxxxxxxxxxxx/$/$/Lindy Motel,0.0
xxxxxxxxxxxxxx/$/$/Nantahala Cabins Inc,0.0
xxxxxxxxxxxxxx/$/$/Hunting Lodge,0.0
xxxxxxxxxxxxxx/$/$/La Playa,0.0
xxxxxxxxxxxxxx/$/$/Garden of The Gods Club & Resort,0.51
xxxxxxxxxxxxxx/$/$/Fitzgerald's Restaurant,0.0
xxxxxxxxxxxxxx/$/$/Hampton Inn Dublin,0.43
xxxxxxxxxxxxxx/$/$/Newark Budget Inn,0.0
xxxxxxxxxxxxxx/$/$/Laurel Manor Motel,0.0
xxxxxxxxxxxxxx/$/$/Lexington Inn,0.0
xxxxxxxxxxxxxx/$/$/Melody Lodge Cabins,0.0
xxxxxxxxxxxxxx/$/$/Central House,0.0
xxxxxxxxxxxxxx/$/$/Clubhouse At River Country Est,0.0
xxxxxxxxxxxxxx/$/$/Koehne Dexter Terrie,0.0
xxxxxxxxxxxxxx/$/$/Brasstown Valley Golf Club,0.0
xxxxxxxxxxxxxx/$/$/Holiday Inn,0.06
xxxxxxxxxxxxxx/$/$/Hi-way Inn of Kiowa,0.0
xxxxxxxxxxxxxx/$/$/Americas Best Value Inn,0.3
xxxxxxxxxxxxxx/$/$/Shamrock Hill Inn,0.0
xxxxxxxxxxxxxx/$/$/Spring Bay Inn,0.0
xxxxxxxxxxxxxx/$/$/The Abbey Resort,0.51
xxxxxxxxxxxxxx/$/$/Welcome Inn Apartments,0.0
xxxxxxxxxxxxxx/$/$/Forest Hill Inn,0.33
xxxxxxxxxxxxxx/$/$/Rodeway Inn,0.3
xxxxxxxxxxxxxx/$/$/West Side Motel,0.0
xxxxxxxxxxxxxx/$/$/Nesco Manor Hotel,0.0
xxxxxxxxxxxxxx/$/$/Motel 6,0.28
xxxxxxxxxxxxxx/$/$/The Dec,0.0
xxxxxxxxxxxxxx/$/$/Extended Stay America Grand Rapids - Kentwood,0.0
Carole/$/$/Hawthorn Suites By Wyndham Livermore Wine Country,0.56
"Carole/$/$/The Alexandrian, Autograph Collection",0.62
Carole/$/$/Sheraton Offenbach Hotel,0.54
Carole/$/$/Inn At Mendenhall,0.66
Carole/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.62
Carole/$/$/Hotel Valencia Santana Row,0.57
John/$/$/Hawthorn Suites By Wyndham Livermore Wine Country,0.99
John/$/$/The Houstonian Hotel,0.58
John/$/$/Best Western Plus Waterville Grand Hotel,0.5
John/$/$/Comfort Suites Southport,0.58
John/$/$/Ambassadors Inn and Suites,0.46
John/$/$/Tryp Dusseldorf Krefeld Hotel,0.52
John/$/$/Econo Lodge St Robert,0.43
John/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.44
John/$/$/Days Inn Brookings,0.48
John/$/$/Best Western Plus Arlington North Hotel and Suites,1.01
John/$/$/Country Inn and Suites By Carlson Corbin,0.54
John/$/$/Quality Inn Spearfish,0.96
John/$/$/Inn At Queen Anne,0.53
John/$/$/Days Inn Warren,0.89
John/$/$/Holiday Inn Canyon De Chelly,0.56
John/$/$/Super 8 Pittsburgh/monroeville,0.45
John/$/$/Solstice,0.47
"John/$/$/The Alexandrian, Autograph Collection",1.11
John/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.5
John/$/$/Mountain Lodge At Telluride - A Noble House Resort,1.21
John/$/$/Baymont Inn and Suites Enid,0.57
John/$/$/Quality Inn & Suites,0.9
John/$/$/Vista Hotel On Lake Tarpon,0.89
John/$/$/Wine Valley Lodge,0.93
John/$/$/American Star Inn and Suites Atlantic City,0.43
John/$/$/Discovery Inn,0.43
John/$/$/Candlewood Suites Huntersville,0.51
John/$/$/Warwick Denver,0.84
John/$/$/Pelican Shores Inn,0.74
John/$/$/Amisos Hotel,0.41
John/$/$/Baymont Inn & Suites Griffin,0.53
John/$/$/Dallas/fort Worth Marriott Solana,0.92
John/$/$/Super 8 Worthington Minnesota,0.44
John/$/$/Quality Inn Near Six Flags,0.46
John/$/$/Hampton Inn Abilene,0.5
John/$/$/Tidewater Inn,0.45
John/$/$/Jacksonville Plaza Hotel and Suites,1.03
John/$/$/Hawthorn Suites Dayton North,0.68
John/$/$/Comfort Inn - Springfield,0.56
John/$/$/Sombrero Resort and Marina,0.41
John/$/$/Days Inn West Memphis,0.5
John/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.53
John/$/$/Parkside Inn At Incline,0.58
John/$/$/Holiday Inn Express Hotel and Suites Raleigh-wakefield,0.54
John/$/$/Arion,0.53
John/$/$/Fireside Inn Santa Cruz,0.48
John/$/$/Country Inn & Suites By Carlson,0.92
John/$/$/Best Western Holiday Hills,0.96
John/$/$/Howard Johnson Inn - Newburgh,0.85
John/$/$/Quality Inn and Suites Eugene-springfield,0.56
John/$/$/Hampton Inn Bloomington West,0.97
John/$/$/Comfort Inn Deland - Near University,0.62
John/$/$/Quality Inn and Suites,0.47
John/$/$/Best Western of Long Beach,1.1
John/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.6
John/$/$/Hotel An Der Philharmonie,0.52
John/$/$/Innisbrook,0.95
John/$/$/Fairfield Inn and Suites By Marriott Plainville,0.59
John/$/$/Marriott's Mountainside At Park City,0.5
John/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,0.5
John/$/$/Western Inn-glacier Park,0.56
John/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.71
John/$/$/Hotel Metropole,0.6
John/$/$/Hyatt Place Pittsburgh Cranberry,0.95
John/$/$/El Dorado Seaside Suites By Karisma - All Inclusive,1.0
John/$/$/Comfort Inn Birmingham - Irondale,0.52
John/$/$/Super 8 Madison,0.53
John/$/$/Holiday Inn Express & Suites West Monroe,0.43
John/$/$/Ip Casino Resort Spa,0.53
John/$/$/Hampton Inn Tucson-airport,0.48
John/$/$/Hampton Inn & Suites-downtown-tutwiler,0.56
John/$/$/Super 8 - Upland,0.4
John/$/$/Radisson Blu Conference and Airport Hotel,0.51
John/$/$/Days Inn North Columbia Ft. Jackson,0.46
John/$/$/Americas Best Value Inn,0.43
John/$/$/Simpson House Inn,0.52
John/$/$/Inn At Mendenhall,0.63
John/$/$/La Quinta Inn and Suites Hopkinsville,0.6
John/$/$/Super 8 Belle Fourche,0.44
John/$/$/Super 8 Indianapolis,0.53
John/$/$/Garden of The Gods Club & Resort,0.51
John/$/$/Holiday Inn Express - Hillsboro,0.6
John/$/$/Hampton Inn Dublin,1.03
John/$/$/Knights Inn Eau Claire,0.83
John/$/$/Towneplace Suites Albany University Area,0.48
John/$/$/Monterey Beach Dunes Inn,0.47
John/$/$/Super 8 Kansas City Airport,0.48
John/$/$/Hotel Roc Flamingo,1.02
John/$/$/Campus Inn & Suites Eugene Downtown,0.49
John/$/$/Hampton Inn Virginia Beach Oceanfront North,0.56
John/$/$/Holiday Inn Fond Du Lac,0.89
John/$/$/Arizona Inn of Prescott Valley,0.78
John/$/$/Microtel Inn and Suites By Wyndham Burlington,0.5
John/$/$/The Inn At Bella Vista,0.52
John/$/$/Comfort Suites,0.49
John/$/$/Brightwood Inn Country Inn,0.61
John/$/$/Hotel Valencia Santana Row,0.48
John/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.66
John/$/$/Days Inn Lanham Washington Dc,0.78
John/$/$/La Quinta Inn Auburn Worcester,0.46
